sample_id,n_mask_objects_without_cellData,n_cellData_rows,mask_only_sample
30,12128,0,True
26,2717,5119,False
13,2073,7665,False
18,1895,5539,False
4,1850,6643,False
17,1790,7071,False
12,1777,6995,False
8,1654,3136,False
6,1587,5998,False
14,1481,6270,False
37,1442,6280,False
16,1411,8212,False
5,1331,5406,False
9,1311,6139,False
21,1218,5423,False
28,1216,6061,False
3,1203,6315,False
35,1070,7716,False
11,1028,5112,False
32,974,5158,False
20,792,5103,False
1,769,5167,False
19,704,4400,False
24,695,4613,False
10,633,4580,False
39,630,4030,False
29,610,4819,False
7,594,3410,False
27,573,4332,False
40,573,4285,False
41,565,4532,False
23,528,4490,False
34,487,2856,False
38,445,4330,False
31,340,3415,False
15,245,3315,False
36,233,2939,False
2,227,3028,False
22,217,3072,False
25,208,2658,False
33,171,2046,False
