column,dtype
SampleID,int64
cellLabelInImage,int64
cellSize,int64
C,int64
Na,float64
Si,float64
P,float64
Ca,float64
Fe,float64
dsDNA,float64
Vimentin,float64
SMA,float64
Background,float64
B7H3,float64
FoxP3,float64
Lag3,float64
CD4,float64
CD16,float64
CD56,float64
OX40,float64
PD1,float64
CD31,float64
PD-L1,float64
EGFR,float64
Ki67,float64
CD209,float64
CD11c,float64
CD138,float64
CD163,float64
CD68,float64
CSF-1R,float64
CD8,float64
CD3,float64
IDO,float64
Keratin17,float64
CD63,float64
CD45RO,float64
CD20,float64
p53,float64
Beta catenin,float64
HLA-DR,float64
CD11b,float64
CD45,float64
H3K9ac,float64
Pan-Keratin,float64
H3K27me3,float64
phospho-S6,float64
MPO,float64
Keratin6,float64
HLA_Class_1,float64
Ta,float64
Au,float64
tumorYN,int64
tumorCluster,int64
Group,int64
immuneCluster,int64
immuneGroup,int64
patient_class,int64
centroid_x,float64
centroid_y,float64
mask_area_pixels,float64
