SampleID,n_cells,patient_class,n_tumor_cells,n_non_tumor_cells
1,5167,0,2609,2558
2,3028,0,2072,956
3,6315,1,3136,3179
4,6643,1,2482,4161
5,5406,1,2616,2790
6,5998,1,3678,2320
7,3410,0,2852,558
8,3136,0,2575,561
9,6139,1,2867,3272
10,4580,1,1714,2866
11,5112,0,3495,1617
12,6995,0,3448,3547
13,7665,0,2502,5163
14,6270,0,5220,1050
15,3315,2,3201,114
16,8212,1,1713,6499
17,7071,0,3817,3254
18,5539,0,5039,500
19,4400,2,4192,208
20,5103,0,3546,1557
21,5423,0,4873,550
22,3072,2,2899,173
23,4490,0,3771,719
24,4613,2,4525,88
25,2658,2,2436,222
26,5119,2,5028,91
27,4332,0,3506,826
28,6061,1,1558,4503
29,4819,0,3059,1760
31,3415,0,3099,316
32,5158,1,1607,3551
33,2046,0,1731,315
34,2856,1,1547,1309
35,7716,1,685,7031
36,2939,1,1516,1423
37,6280,1,1607,4673
38,4330,0,3300,1030
39,4030,0,1627,2403
40,4285,1,1799,2486
41,4532,1,1688,2844
